Ühend;Lause_ID;Leitud ühendikandidaat;Komponendi seos;Komponendi kääne;Passiiv;Reegel;Lause tekst;Noomeni token;Verbi token
töö:Par tegema;aja_ml200247_830;tööd tegi;obj;Par;ei;obj;"""Kuidas erametsaliit töögruppides tööd tegi, teab liit ise paremini,"" kõlab keskkonnaministeeriumi esindaja Etverki vastus.";5;6
asi:Par ajama;aja_ml200247_839;asju ajama;obj;Par;ei;obj;"""Selliseid asju peaks ajama südamega,"" ütleb Mihkelson.";3;5
võimalus:obj andma;aja_ml200247_854;annab võimalused;obj;Nom;ei;obj;Seadus annab omavalitsusliitudele suuremad võimalused kaasa rääkida ELi struktuurifondide raha jagamisel.;5;2
korraldus:obj tegema;aja_ml200247_910;tegi korralduse;obj;Gen;ei;obj;Juba eelmisel sügisel tegi Urvaste vallavalitsus esimese korralduse, mida pikendas tänavu mais veel kuni 1. juulini.;8;4
asi:Par ajama;aja_ml200247_912;asjad ajada;obj;Nom;ei;obj;"""Ees olid valimised, ehk lootis ta, et uue volikoguga on võimalik asjad korda ajada.""";15;17
luba:obj andma;aja_ml200247_913;andis loa;obj;Gen;ei;obj;Paar aastat kohtus jaurata on lubanud ajakirjandusele ka vandeadvokaat Viktor Kaasik, kellele Harjumaa Jõelähtme vallavalitsus andis ebaseaduslikult loa ehitada merele lähemale kui 100 meetrit ning hiljem peatas selle.;19;17
mure:Par tegema;aja_ml200247_986;teeb muret;obj;Par;ei;obj;Vallavanem Lembit Sikk, kellele teeb muret, et valitsus ja parteid on riputanud vallad rahaliselt oma lõa otsa, tunnetab suuremat vastuolu siiski vaimsel tasandil.;7;6
arvestus:Par pidama;aja_pm19980926_129;peetakse arvestust;obj;Par;jah;obj;Loomulikult peetakse arvestust ka asjade osas, mida õhku loobitakse.;3;2
huvi:Par tundma;aja_pm19980926_149;huvi tundma;obj;Par;ei;obj;Orientaalse huvi levikuga maailmas hakatakse zhongleerimise vastu elavamalt huvi tundma nii Vana kui Uue Maailma teatrites.;9;10
ette_valmistus:obj tegema;aja_pm19980926_15;ettevalmistust tegema;obj;Par;ei;obj;Ei peagi selleks ju teab mis pikka ettevalmistust tegema.;8;9
töö:Par tegema;aja_pm19980926_183;tööd teha;obj;Par;ei;obj;Mida rohkem antakse värviga märgitud tundele omadusi, seda kergem on selle tundega tööd teha.;14;15
töö:Par tegema;aja_pm19980926_189;tööd teha;obj;Par;ei;obj;Kes ei taha, ei pea üldse rääkima, aga teraapiaprotsessis osaledes on ikkagi võimalik oma probleemidega tööd teha.;18;19
nõu:Par pidama;aja_pm19980926_245;nõu pidada;obj;Par;ei;obj;Need probleemid tuleb enne sirmiraami tellimist selgeks mõelda ja meistriga või disaineriga nõu pidada.;13;14
info:obj andma;aja_pm19980926_273;infot annab;obj;Par;ei;obj;Privaatsuse hoidmiseks valib inimene, millist infot, kui palju ja kellele ta välja annab.;7;15
plaan:obj pidama;aja_pm19980926_322;plaani pidades;obj;Par;ei;obj;Ligi kolme kuu vanused krokodillipojad vaatavad võõrast kavala ilmega, nagu plaani pidades, keda suureks kasvades (kuni 10 meetrit) oma 60 nõelterava hambaga esimesena nahka pista.;12;13
hääl:Par tegema;aja_pm19980926_331;teeb häält;obj;Par;ei;obj;Emase meelitamiseks ja oma territooriumist teatades teeb elukas konna krooksumise ja käo kukkumise vahepealset häält.;15;7
huvi:Par tundma;aja_pm19980926_401;tundis huvi;obj;Par;ei;obj;“ Kuidas sul siis sedapuhku Sussexis läks? ” tundis Watson tule kohal käsi kuivatades huvi.;16;10
garantii:obj andma;aja_pm19980926_44;garantiid anna;obj;Par;ei;obj;Sajaprotsendilist garantiid see ei anna, kuid kindlama enesetunde loob ikka.;2;5
märkus:obj tegema;aja_pm19980926_477;teha märkuse;obj;Gen;ei;obj;Samas võib seesama mulla teha avalikkuse ees mõnele naisterahvale märkuse, kui tal väike juuksetukk rätiku alt välja kipub.;10;5
huvi:Par tundma;aja_pm19980926_494;tunti huvi;obj;Par;jah;obj;Minu puhul tunti ikka ja jälle huvi kreemitopsiku vastu, mida ma mantlitaskus kandsin: seda võeti lahti ja uuriti.;7;3
seletus:obj andma;aja_pm19980926_502;seletusi andma;obj;Par;ei;obj;Inglise keele oskajaid leidub vaid linnades ja needki on kehva tasemega, ent rahvas on igal pool sõbralik ning valmis pärsia keeles pikalt-laialt võõramaalasele seletusi andma.;25;26
ette_heide:Par tegema;aja_pm19980926_507;etteheiteid tegi;obj;Par;ei;obj;Kuid inglanna, kellele üks kohalik noormees ähvardava näoga etteheiteid tegi, sest paistis natuke juuksetukka rätiku alt, tundis end kaitsetuna.;10;11
uhkus:Par tundma;aja_pm19980926_6;Tundke uhkust;obj;Par;ei;obj;Tundke uhkust iseenda üle, saage lahti hirmudest ja ühtlasi koguge ports energiat.;2;1
nauding:Par tundma;aja_pm19980926_760;tunneb naudingut;obj;Par;ei;obj;Õpilastele samme valides mängleb Jansu iga päev tundide kaupa peegli ees ning tunneb silmnähtavat naudingut igast oma liigutusest.;15;13
hääl:Par tegema;aja_pm19980926_79;Häält tegema;obj;Par;ei;obj;“ “ Maailma Häält ” sai kunagi lihtsalt tegema hakatud, nüüd jätkan kohusetundest.;4;9
mure:Par tundma;aja_pm19980926_794;tunnevad muret;obj;Par;ei;obj;Ikka ja jälle helistavad kolmekümnesed naised ning tunnevad muret, kas neil sobiks tantsima tulla.;9;8
algus:Par tegema;aja_pm19980926_828;algust tehtud;obj;Par;jah;obj;Kui aga massaazhiga algust tehtud, ei saa unarusse jätta võrkturustustooteid: pesuvahendeid, parfüüme, toidulisasid ja vitamiine.;4;5
valik:obj tegema;aja_pm20000218_1012;teevad valiku;obj;Gen;ei;obj;Worldwatchi instituudi direktor Lester Brown manitseb Eestit keskkonna säästmiseks hoolega kaaluma poliitilisi otsuseid, mis teevad siia tulevate Lääne investeeringute seast valiku.;22;16
järeldus:obj tegema;aja_pm20000218_1015;teha järeldused;obj;Nom;ei;obj;Meie idee on selline, et paneme faktid ritta ja laseme lugejatel teha oma järeldused.;15;13
otsus:obj vastu võtma;aja_pm20000218_1078;võtta vastu otsuseid;obj | compound:prt;Par | ;ei;obj;Väiksed riigid on tavaliselt poliitiliselt mobiilsemad, nad võivad võtta vastu poliitilisi otsuseid lühema hoiatusajaga.;13;10
töö:Par tegema;aja_pm20000218_109;teinud tööd;obj;Par;ei;obj;“ Aga ta ei teinud müüja tööd, vaid oli tulnud vaatama, kas see töö talle sobiks. ”;7;5
huvi:Par tundma;aja_pm20000218_1168;tuntakse huvi;obj;Par;jah;obj;“ Enim tuntakse huvi sisseastumiseksamite ja konkursside vastu, ” lausus tudeng.;4;3
jutt:Par ajama;aja_pm20000218_118;juttu ajada;obj;Par;ei;obj;Kommenteerides Oleg Bulkini väidet, et ta ei pööranud tähelepanu kastides kaasas olnud brändisiltidele, vastas Stokkeby, et nii kogenud ärimees ei saa sellist juttu ajada.;26;27
eel_töö:Par tegema;aja_pm20000218_1186;Eeltööd tegi;obj;Par;ei;obj;Eeltööd labori leidmiseks tegi narkogrupp pool aastat.;1;4
peatus:Gen tegema;aja_pm20000218_1190;peatuse teinud;obj;Gen;ei;obj;Hunt oli koera talu lähedale metsa lohistanud, vahepeal peatuse teinud ja teda rappinud. ”;10;11
otsus:obj tegema;aja_pm20000218_1218;teha otsuseid;obj;Par;ei;obj;“ Ühel ja samal kohtul on vaatamata eri kohtunikele raske teha järjestikku erinevaid otsuseid, ” ütles Rattus.;14;11
huvi:Par tundma;aja_pm20000218_1303;tunnevad huvi;obj;Par;ei;obj;Tutvustasid end metsandustudengitena, kes tunnevad huvi puude kasvu vastu.;7;6
koos_töö:Par tegema;aja_pm20000218_1411;koostööd teha;obj;Par;ei;obj;Vene immigrantidest abielupaar tunnistas end eile süüdi reas föderaalkuritegudes, mille eest võib neid karistada kuni 10-aastase vabadusekaotusega ja suurte trahvidega, ning lubas uurijatega edaspidi koostööd teha, lootuses, et kõrgemaid karistusmäärasid nende suhtes siiski ei rakendata.;27;28
alt_käe_maks:obj andma;aja_pm20000218_1418;andis altkäemakse;obj;Par;ei;obj;Kohtule esitatud dokumentides märgitakse, et Edwards andis rahapesumasina töökindluse tagamiseks “ altkäemakse Bank of New Yorki Ida-Euroopa osakonna töötajatele ”.;13;8
põhjus:Par andma;aja_pm20000218_1437;andis põhjust;obj;Par;ei;obj;Vaid nädal tagasi andis Läti Moskvale põhjust protestida selle üle, et Riias mõisteti kurjategijana süüdi Teise maailmasõja aegne Nõukogude partisan.;7;4
käsk:obj andma;aja_pm20000218_1479;anti käsku;obj;Par;jah;obj;Järgnevalt anti Marsile kiiresti mitu käsku, lootuses, et kosmosesõiduk - kui see oli signaali allikas - annaks signaale edasi samal lainepikkusel, kuid Stanfordi antenn ei avastanud midagi.;6;2
signaal:Par andma;aja_pm20000218_1479;annaks signaale;obj;Par;ei;obj;Järgnevalt anti Marsile kiiresti mitu käsku, lootuses, et kosmosesõiduk - kui see oli signaali allikas - annaks signaale edasi samal lainepikkusel, kuid Stanfordi antenn ei avastanud midagi.;20;19
võimalus:obj andma;aja_pm20000218_1490;andis võimaluse;obj;Gen;ei;obj;"Mõnes punktis pakkusid kaamerad vaadata mitme auto möödumist; see andis vaatajale võimaluse võistlejaid võrrelda, samas ei olnud need lõigud tüütavalt pikad.";13;11
töö:Par tegema;aja_pm20000218_170;tööd teha;obj;Par;ei;obj;Pakume sisukat ajaviidet ja ka võimalust tööd teha.;7;8
töö:Par tegema;aja_pm20000218_172;töid tegema;obj;Par;ei;obj;Hoolduse eesmärk ongi see, et inimene oleks mõne aja pärast võimeline iseseisvalt elama ja lihtsamaid töid tegema.;17;18
võimalus:obj andma;aja_pm20000218_19;annavad võimaluse;obj;Gen;ei;obj;“ Kohalikud tootjad annavad meile võimaluse katta energia puudujääk tipptundidel, ” põhjendas Saar.;6;4
ette_valmistus:obj tegema;aja_pm20000218_240;ettevalmistused tehtud;obj;Nom;jah;obj;Remondi jätkamiseks on ettevalmistused tehtud, linnal pole aga praegu raha.;4;5
kahju:Par tegema;aja_pm20000218_333;tegi kahju;obj;Par;ei;obj;Autorüüstaja tegi suurt kahju;4;2
katse:Par tegema;aja_pm20000218_379;teeb katse;obj;Gen;ei;obj;Kui mõni mängija teeb nõrga katse öelda “ p ” nagu Peeter või “ t ” nagu Tõnu, haarab mängujuht kohe sõnasabast kinni ja kordab üle: põhh, tõhh, kõhh.;6;4
koos_töö:Par tegema;aja_pm20000218_450;teinud koostööd;obj;Par;ei;obj;Oleme teinud Soome politseiga narkovõitluses tõsist ja head koostööd ning ma loodan, et see jätkub ka tulevikus.;9;2
võimalus:obj andma;aja_pm20000218_542;annaks võimaluse;obj;Gen;ei;obj;Tüliõunaks saanud seaduseelnõu annaks 1941. aastal Eestist Nõukogude Liidu ja Hitleri Saksamaa kokkuleppe järgi ümber asunud baltisakslastele võimaluse oma siia jäänud vara tagasi taotleda, varem oli neid erandlikult grupina tagasisaajate seast välja arvatud.;18;4
viga:obj tegema;aja_pm20000218_561;teinud vea;obj;Gen;ei;obj;Manilovi alluvad on aga teinud aadressi üles märkides vea, kirjutades sõna “ utiliidid ” ühe i-ga, ning Russkii Deadline ei suutnud seetõttu sellist aadressi leida.;9;5
põhjus:Par andma;aja_pm20000218_562;andis põhjuse;obj;Gen;ei;obj;See andis infokeskusele põhjuse Manilovi ametkonna tööd kritiseerida: “ Eesti keelt me küll ei oska, kuid vaadates 3. veebruaril avaldatud pilti, on raske uskuda, et Tshetsheenia mägedes suusatavad kenad neiud kirevates kostüümides ja suurte rinnanumbritega. ”;4;2
valik:obj tegema;aja_pm20000218_575;valik tehtud;obj;Nom;jah;obj;Eesti noored peavad õppimisvõimalusi tutvustava messi külastamist lausa kohustuslikuks, seda ka siis, kui õppeasutuse valik juba tehtud.;17;19
võimalus:obj andma;aja_pm20000218_647;annaks võimaluse;obj;Gen;ei;obj;Või maju veel kaugemast minevikust, mille taastamine kunsti- ja turismiobjektideks annaks võimaluse luua unikaalne muuseumiring, millist pole teistes Euroopa riikides ning mille loomisel saaksime naabritelegi tuletorniks olla.;13;12
panus:obj tegema;aja_pm20000218_676;panust teha;obj;Par;ei;obj;Väikeses ja demokraatlikus riigis ei tohiks liialt suurt panust teha esindusfunktsioonidele, pigem peaksime hoolitsema oma rahvuslike vaimulätete eest, mis saavad toitu väljastpoolt kosmopoliitset pealinna.;9;10
lubadus:obj andma;aja_pm20000218_73;anna lubadust;obj;Par;ei;obj;Ta pidas tõenäoliseks, et ka järgmise viie aasta lepingu saab Liikor, sest riigihanke konkursi tingimused on küllalt karmid: linn ei anna lubadust suurendada dotatsiooni, kuid nõuab liinide käigushoidmist senises mahus.;25;24
koos_töö:Par tegema;aja_pm20000218_748;teinud koostööd;obj;Nom;ei;obj;"1986. aastal kutsus Pierre Boulez ta ansambli InterContemporain solistiks; 1992. aastast on ta Berliini Filharmoonikute koosseisuline solist; ta on teinud koostööd Luciano Berioga, Edison Denissovi ja Karlheinz Stockhauseniga, mitmete nimekate orkestritega.";23;22
vastus:Par andma;aja_pm20000218_869;vastust anna;obj;Par;ei;obj;Kuivõrd peaks telefon vastu veelompi potsatades või näiteks rannas kalda ääres korraks vee alla vajudes, Ericsson vastust ei anna.;18;20
korraldus:obj andma;aja_pm20000218_913;andis korralduse;obj;Gen;ei;obj;Kui San Antonio meeskonna peatreener Gregg Popovich viis kuud pärast operatsiooni Elliotti NBA meistritiitli kaitsjatega üks ühe vastu mängimas nägi, andis ta korralduse Elliott platsi äärde kutsuda.;24;22
takistus:Par tegema;aja_pm20000218_914;Teen takistusi;obj;Par;ei;obj;“ Teen talle mängu naasmisel kõikvõimalikke takistusi, ” ütles Popovich.;7;2
võimalus:obj andma;aja_pm20000218_921;antakse võimalus;obj;Nom;jah;obj;“ Ent kui mulle antakse võimalus ja ma tunnen end kehaliselt hästi, tahan taas mängida. ”;6;5
töö:Par tegema;aja_pm20001004_1020;tööd teinud;obj;Par;ei;obj;Ta leiab, et stsenaristid on oma tööd hästi teinud ning keerulise geeniuse mängimine osutus tänu sellele oodatust lihtsamaks.;8;10
töö:Par tegema;aja_pm20001004_1033;töö tehtud;obj;Nom;jah;obj;Kahju, et Tampere-aeg otsas, kergendus, et töö saab tehtud.;10;12
amet:Par pidama;aja_pm20001004_1076;ametit pidama;obj;Par;ei;obj;"""Kui see häiriks, peaksin teist ametit pidama,"" muigab ta.";8;9
nali:Par tegema;aja_pm20001004_1089;teeb nalja;obj;Par;ei;obj;Oma näopildiga T-särk teeb Uuspõllule nalja.;6;4
nõu:Par pidama;aja_pm20001004_1116;nõu pidanud;obj;Par;ei;obj;Nõukogu liikmed on kinniste uste taga nõu pidanud juba kaks päeva, kuid vähemalt teisipäeva pärastlõunaks ei suudetud kokku leppida, kui karmisõnaliselt tuleks Iisrael hukka mõista.;7;8
all_kiri:obj andma;aja_pm20001004_1121;allkirja andnud;obj;Gen;ei;obj;"""Läbirääkimised (selle lepingu üle) on tõestanud India ja Venemaa pikaajaliste rahvuslike ja geopoliitiliste huvide kokkulangevust,"" ütles Putin pressikonverentsil pärast seda, kui oli koos India peaministri Atal Behari Vajpayeega dokumendile allkirja andnud.";36;37
pidu:Par pidama;aja_pm20001004_1166;peame pidu;obj;Par;ei;obj;"President Rau toonitas: ""Täna peame pidu selle nimel, et Saksamaad ei lõhestaks enam ükski piir, mille lähedus põhjustaks inimjahti.""";8;7
kõne:obj pidama;aja_pm20001004_1173;pidas kõne;obj;Gen;ei;obj;"""Milosevic pidas ähvardava, väga närvilise ja ebastabiilse kõne,"" ütles Djindjic.";10;3
ette_panek:obj tegema;aja_pm20001004_1192;ettepaneku tegi;obj;Gen;ei;obj;Samalaadse ettepaneku tegi Vene võimudele ka Jugoslaavia endine peaminister Milan Panic.;2;3
karjäär:Par tegema;aja_pm20001004_1232;teha karjääri;obj;Par;ei;obj;Susan Sarandon on suutnud teha karjääri Hollywoodi tavasid eirates.;6;5
uuring:Par tegema;aja_pm20001004_174;teha uuringuid;obj;Par;ei;obj;Nakatunu vereproov läheb Tallinnasse Merimetsa haigla kontroll-laborisse, kus saab teha eriti täpseid uuringuid.;14;11
asi:Par ajama;aja_pm20001004_360;ajada asju;obj;Par;ei;obj;On suur vahe, kas minna leiba ostma kohalikku külapoodi ja ajada asju kohalikus vallamajas või sõita maakonnakeskusesse.;13;12
analüüs:obj tegema;aja_pm20001004_436;teha analüüs;obj;Nom;ei;obj;Andkem uurijatele aega teha sügavam analüüs ja näidata küsimuste komplekssema analüüsi alusel seda küsitletute osa, kelle puhul on tegemist hoiakuga.;6;4
asi:Par ajama;aja_pm20001004_545;asja ajada;obj;Gen;ei;obj;Siseminister Tarmo Loodus on selles lapseskandaalis käitunud nagu hübriid peata kanast ja argpükslikust parteisõdurist, kes lubab suure suuga asja korda ajada, udutab nii lapse vanematele saadetud kirjas kui ka Riigikogus esinedes, ja ei tee tegelikult midagi, sest kodakondsusseadus on risti tee peal ees.;20;22
korraldus:obj andma;aja_pm20001004_546;andis korralduse;obj;Gen;ei;obj;Loodus andis küll väidetavalt kodakondsusameti juhile korralduse lapse passiasi kohe ära korraldada, kuid kodakondsusameti teatel neil sellist korraldust pole.;7;2
läbi_rääkimine:Par pidama;aja_pm20001004_652;peetakse läbirääkimisi;obj;Par;jah;obj;Praegu peetakse läbirääkimisi erinevate asjasse puutuvate ministeeriumidega, leidmaks selleks vajalikku raha.;3;2
leping:obj tegema;aja_pm20001004_665;teha lepingu;obj;Gen;ei;obj;Kuusmanni hinnangul võisid pooled teha uue lepingu suuremale summale niipea, kui tekkis kära, et esialgne tehingusumma on väga väike.;7;5
otsus:obj tegema;aja_pm20001004_692;teeb otsused;obj;Nom;ei;obj;Hänni sõnul jälgib valitsus tähelepanelikult EVP hinnarallit ja teeb vastavalt sellele oma järgmised EVPsid puudutavad otsused.;16;9
käsk:obj andma;aja_pm20001004_720;käsud anti;obj;Nom;jah;obj;""" Mänguaega sain 5-10 minutit, kõik käsud anti täpselt kätte.";8;9
vile:Par laskma;aja_pm20001004_737;lasi vilet;obj;Par;ei;obj;Hoobist toibudes lasi mõni vilet, lõpuks tunnistasid aga kõik hollandlase üleolekut ja hindasid tema väärtust.;5;3
remont:Par tegema;aja_pm20001004_819;teinud remondi;obj;Gen;ei;obj;"""Ta on teinud tõsise remondi Suislepa ja Kärstna koolis, avas ühes lasteaias uue algkooli ning maksab õpilastele kaks korda aastas rahalisi preemiaid,"" loetles ta.";6;4
koos_töö:Par tegema;aja_pm20001004_831;teeme koostööd;obj;Nom;ei;obj;"""Me ei vandunud teineteisele, et teeme koostööd Tallinna opositsioonis, ja mingit kokkulepet ei saavutanud,"" mainis ta.";9;8
analüüs:obj tegema;aja_pm20001004_841;teha analüüs;obj;Nom;ei;obj;Eile saatis Voog linnavalitsusele ettepaneku teha juriidiline analüüs AS Tallinna Soojuse vallandatud juhatuse esimehe, Tallinna volikogu liikme Elmar Sepa 0,5 miljoni kroonise lahkumishüvitise maksmise õiguspärasuse kohta.;8;6
otsus:obj tegema;aja_pm20001004_844;tegi otsuse;obj;Gen;ei;obj;Valitsus tegi eile poliitilise otsuse ehitada kunstimuuseumi uus hoone Kadriorgu hoolimata sellest, et nii jäävad sobilikust asupaigast ilma sõjaväeluurajad ja Tallinna linnavõim pooldas muuseumimaja hoopis kesklinna.;5;2
asi:Par ajama;aja_pm20001004_920;asju ajama;obj;Par;ei;obj;Tudengist Täht tuli laupäeva hommikul Tallinna asju ajama ning pidi esialgsete plaanide järgi keskpäeva paiku Tartus tagasi olema.;7;8
süst:obj tegema;aja_pm20001004_932;süst teha;obj;Nom;ei;obj;Insuliini otsimise peale kulus 10 minutit ning seejärel lasti noormehel ise endale süst ära teha.;13;15
süst:obj tegema;aja_pm20001004_940;süsti teha;obj;Par;ei;obj;Iga meedik võtab endale tehtud süsti eest vastutuse ja on täiesti selge, et iga tänavalttulnu väite peale ei saa meedik talle süsti teha.;23;24
ette_panek:obj tegema;aja_pm20001004_956;teeb ettepaneku;obj;Gen;ei;obj;Pärnu linnavolikogu Reformierakonna fraktsioon teeb võimuliidukaaslasele Isamaaliidule ettepaneku anda haridust ja kultuuri juhtiva abilinnapea koht Reformierakonnale, ütles Reformierakonna Pärnu piirkonna esimees Väino Linde.;8;5
ette_panek:obj tegema;aja_pm20001004_957;teeb ettepaneku;obj;Gen;ei;obj;Linde rääkis, et üleeile õhtul koos istunud Reformierakonna fraktsioon avaldas rahulolematust abilinnapea Sulev Alajõe haridus- ja kultuuripoliitikaga Pärnus ning teeb Isamaaliidule ettepaneku koalitsioonileping üle vaadata.;23;21
teave:Par andma;aja_sloleht20071217_1013;andes teavet;obj;Par;ei;obj;Selle tegevus toimub Londonis ning on märksa mitmekülgsem, lõbusam ja haaravam, andes samas kasulikku teavet Shakespeare'i ja tema loomingu kohta.;17;14
katse:Par tegema;aja_sloleht20071217_1018;katseid teha;obj;Par;ei;obj;Lisaks saab virtuaalmaailma asukatega soovi korral riskantseid katseid teha.;8;9
kaotus:Par saama;aja_sloleht20071217_121;said kaotust;obj;Par;ei;obj;Naiste Balti liigas said Eesti klubid eile kaks nappi kaotust;10;4
harjutus:Par tegema;aja_sloleht20071217_153;Tee harjutusi;obj;Par;ei;obj;Tee kõhulihaste harjutusi alati aeglases tempos, vastasel korral ei tööta kõhu rist- ja põikilihased, vaid neist võimsam sirglihas.;3;1
kahju:Par tegema;aja_sloleht20071217_155;kahju teha;obj;Par;ei;obj;Kühmus seljaga aeroobikaharjutusi tehes langeb koormus lülisambale ja jalaliigestele ebaühtlaselt, kasu asemel võid tervisele hoopis kahju teha.;17;18
viga:obj tegema;aja_sloleht20071217_295;tegin vea;obj;Gen;ei;obj;Aga tegelikult tegin ma juba stardis taktikalise vea.;8;3
korrektiiv:Par tegema;aja_sloleht20071217_299;tegema korrektiive;obj;Par;ei;obj;Analüüs, miks hooaja algus kesine oli, sundis tegema treeningutes korrektiive.;12;10
harjutus:Par tegema;aja_sloleht20071217_362;harjutusi teha;obj;Par;ei;obj;Kui tunned, et jõudu ja energiat jätkub, võid harjutusi teha ka pärast kõndimist.;11;12
intervjuu:obj andma;aja_sloleht20071217_431;intervjuud andma;obj;Par;ei;obj;Ent publik toetas, inimesed hakkasid miilitsat lausa sõimama - näete, sportlane võitis kulla, ta läheb intervjuud andma - pääseti läbi.;19;20
tunnistus:Par andma;aja_sloleht20071217_45;andis tunnistusi;obj;Par;ei;obj;Kohtus andis tunnistusi modell Kelly Fisher, kes oli Dodi kallim 1997. aastal.;3;2
kaotus:Par saama;aja_sloleht20071217_587;sai kaotuse;obj;Gen;ei;obj;Ragnar Klavani koduklubi Almelo Heracles sai Hollandi meistriliigas jälle kaotuse, kui jäi 0:3 alla FC Utrechtile.;10;6
korrektiiv:Par tegema;aja_sloleht20071217_623;tegi korrektiive;obj;Par;ei;obj;Matic keeldus siiski tunnistamast, et tegi pärast teisipäevast kohtumist koosseisus teadlikult korrektiive.;13;7
viga:obj tegema;aja_sloleht20071217_661;teinud viga;obj;Par;ei;obj;"100 meetris võinuks isiklik tulla nii-öelda töö käigus - liiati ei teinud ma ühtki tõsist viga, mis sprinditulemust otseti mõjutanuks.""";16;12
harjutus:Par tegema;aja_sloleht20071217_715;teha harjutusi;obj;Par;ei;obj;Mardna nentis, et seljast lööb valu mujale, tuleb seljale teha vastavaid harjutusi.;14;12
harjutus:Par tegema;aja_sloleht20071217_720;harjutusi teha;obj;Par;ei;obj;Peaaegu kõiki harjutusi on võimalik teha kahtmoodi: kas kergema või rohkem koormava variandina.;3;6
harjutus:Par tegema;aja_sloleht20071217_730;harjutust tehes;obj;Par;ei;obj;Näiteks harjutust istesse tõus tehes hinga välja, kui keha algasendist põlvede juurde tõstad, ning sisse, kui tagasi selili laskud.;2;5
kokku_võte:obj tegema;aja_sloleht20071217_876;teevad kokkuvõtteid;obj;Par;ei;obj;"Sarisaated teevad aastast kokkuvõtteid,"" sõnab ETV peatoimetaja Heidi Pruuli.";4;2
vigur:Par tegema;aja_sloleht20071217_896;tehakse vigurit;obj;Par;jah;obj;"""See õhtu näeb välja niimoodi, et kell 19 on nagu ikka ""Reporteri"" aastalõpu erisaade, kus lisaks päevakajalistele uudistele tehakse kindlasti ka vigurit ja püütakse vaatajat üllatada,"" kirjeldab Mirme.";27;24
nõu:Par pidama;aja_sloleht20071217_948;nõu pidada;obj;Par;ei;obj;Kiirreageerimisüksusesse oma kontingendi saatmine eeldab riigikogu mandaati nagu ikka, kuid eelnõu kohaselt pole valitsusel konkreetsesse kriisi sekkumisel tarvis enam Eestis kellegagi nõu pidada.;23;24
ette_valmistus:obj tegema;aja_sloleht20071217_962;teha ettevalmistusi;obj;Par;ei;obj;Ent kõigest hoolimata on riigikogu siiski võimeline otsuse tegemiseks ruttu kogunema, ja sellal saavad kaitseväelased teha juba vajalikke ettevalmistusi kriisipiirkonda minekuks, ministril aga on pädev mandaat minna Euroopa Liidu tasemel otsust langetama.;20;17
algus:Par tegema;aja_sloleht20071217_972;algus tehtud;obj;Nom;jah;obj;Aga vähemalt algus on tehtud.;3;5
otsus:obj vastu võtma;aja_sloleht20071217_977;võttis vastu otsuse;obj | compound:prt;Gen | ;ei;obj;Läti parlament võttis vastu otsuse, mille järgi võib seal devalveerimispaanikat külvanud inimesed vangi panna.;5;3
võimalus:obj andma;aja_sloleht20071217_999;annavad võimaluse;obj;Gen;ei;obj;Maailmakuulsa literaadi näidendite järgi loodud arvutimängud annavad igaühele sama võimaluse elutoast lahkumata.;10;7
ette_valmistus:obj tegema;arborest-test_4;tegid ettevalmistusi;obj;Par;ei;obj;Kaks meisterkonspiraatorit tegid ettevalmistusi pimedas ja teki all, sest Arnold ei tohtinud midagi aimata.;4;3
koos_töö:Par tegema;arborest_121;koostööd tegema;obj;Par;ei;obj;Asi lõppes eitava otsusega ja nõnda on Eesti Telefon valmis kõigi kaabeldajatega koostööd tegema.;13;14
suits:Par tegema;arborest_19;teeb suitsu;obj;Gen;ei;obj;Arnold teeb õhtul ühe suitsu, Lennartil läheb punast Marlborot sigaret sigareti järel.;5;2
side:Par pidama;arborest_34;sidet pidasid;obj;Par;ei;obj;Rüütel ja Lippmaa, kes ka Ameerikaga sidet pidasid, jäid koju käsi laiutades rääkima Ida-Virumaa raskest olukorrast.;8;9
korraldus:obj andma;arborest_35;annab korralduse;obj;Gen;ei;obj;Muide, viis kuud hiljem George Bushi juurde visiiti kavandades mängis Lennart Arnoldile ninanipsu sellega, et ülemnõukogu presiidiumi esimees ei teadnud täpset päeva, millal välisminister annab talle korralduse lennukisse astuda.;30;28
võimalus:obj andma;arborest_57;annab võimaluse;obj;Gen;ei;obj;Keskerakonna jaoks mäng alles algab ning presidendivalimiste minek valimiskogu kätte annab selleks suurepärase võimaluse.;14;11
panus:obj tegema;arborest_60;teeb panuse;obj;Gen;ei;obj;Kõige tõenäolisem on, et Savisaar asub kas otsima kolmandat kandidaati või teeb panuse Rüütlile.;14;13
intervjuu:obj andma;arborest_78;intervjuud annab;obj;Par;ei;obj;Osalemine nii Eesti Telefonis kui ka kaabeltelevisioonifirmas võtab riigilt võimaluse täita Euroopa Liidu nõudmised konkurentsi loomisel telekommunikatsiooni valdkonnas, omandab Palts prohveti ilme, kui ta esmaspäeva hilisõhtul intervjuud annab.;29;30
nõu:Par pidama;arborest_930;nõu pidama;obj;Par;ei;obj;Peeter ruttas büroost lasteaeda nõu pidama.;5;6
investeering:Par tegema;arborest_98;Investeering tehti;obj;Nom;jah;obj;Investeering kaabeltelefirmasse Starman tehti Eesti sideministeeriumi informeerimata.;1;4
